波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
12月 22日,波特蘭拓荒者,11:00,0
12月 21日,丹佛金塊,100,109
12月 19日,紐奧良鵜鶘,99,107
12月 14日,洛杉磯快艇,117,124
12月 12日,猶他爵士,116,127
12月 10日,鳳凰城太陽,109,125
108.2
奧克拉荷馬城雷霆,Billy Donovan,西區聯盟,7,50.0%
Shai,Gilgeous-Alexander,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png
Chris,Paul,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101108.png
Danilo,Gallinari,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png
Dennis,Schroder,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png
Steven,Adams,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
12月 23日,洛杉磯快艇,8:00,0
12月 21日,鳳凰城太陽,126,108
12月 19日,曼菲斯灰熊,126,122
12月 17日,芝加哥公牛,109,106
12月 15日,丹佛金塊,102,110
12月 12日,沙加緬度國王,93,94
111.2
波特蘭拓荒者,Terry Stotts,西區聯盟,8,44.8%
Damian,Lillard,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203081.png
CJ,McCollum,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png
Carmelo,Anthony,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png
Rodney,Hood,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203918.png
Zach,Collins,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png
12月 22日,明尼蘇達灰狼,11:00,0
12月 21日,奧蘭多魔術,118,103
12月 19日,金州勇士,122,112
12月 17日,鳳凰城太陽,111,110
12月 13日,丹佛金塊,99,114
12月 11日,紐約尼克,115,87
113.0
猶他爵士,Quin Snyder,西區聯盟,6,60.7%
Donovan,Mitchell,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png
Rudy,Gobert,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203497.png
Bojan,Bogdanovic,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
Mike,Conley,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png
Royce,O'Neale,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626220.png
12月 22日,夏洛特黃蜂,6:00,0
12月 20日,雅特蘭大老鷹,111,106
12月 18日,奧蘭多魔術,109,102
12月 14日,金州勇士,114,106
12月 12日,明尼蘇達灰狼,127,116
12月 10日,奧克拉荷馬城雷霆,90,104
110.2
金州勇士,Steve Kerr,西區聯盟,15,20.0%
Glenn,Robinson III,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203922.png
D 'Angelo,Russell,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png
Eric,Paschall,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629672.png
Alec,Burks,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
Draymond,Green,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png
12月 24日,明尼蘇達灰狼,11:30,0
12月 21日,紐奧良鵜鶘,106,102
12月 19日,波特蘭拓荒者,112,122
12月 16日,沙加緬度國王,79,100
12月 14日,猶他爵士,106,114
12月 12日,紐約尼克,122,124
105.0
洛杉磯快艇,Doc Rivers,西區聯盟,3,70.0%
Kawhi,Leonard,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
Paul,George,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
Lou,Williams,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101150.png
Montrezl,Harrell,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
Patrick,Beverley,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
12月 22日,聖安東尼奧馬刺,9:30,0
12月 20日,休士頓火箭,117,122
